"","quant_INF1","quant_INF2","quant_INF3"
"TGME49_200110",0,0,0
"TGME49_200595",0,0,0
"TGME49_200600",-0.577350269189626,-0.577350269189626,1.15470053837925
"TGME49_201690",-0.443029465772865,1.14498301568924,-0.701953549916368
"TGME49_201750",0,0,0
"TGME49_201850",0.519941946654634,-1.15285690057768,0.632914953923045
"TGME49_202020",0.983683036969939,-1.01555495356488,0.0318719165949627
"TGME49_202090",0.472876303041201,0.675861690371617,-1.14873799341282
"TGME49_202100",-0.577350269189626,-0.577350269189626,1.15470053837925
"TGME49_202110",-1.04437031335086,0.0956080986383577,0.948762214712505
"TGME49_202140",-1.15241447718948,0.513313243864863,0.639101233324612
"TGME49_202285",0,0,0
"TGME49_202400",0.866527766051414,-1.09420807355654,0.227680307505127
"TGME49_202445",-1.11246850817477,0.824208812095324,0.288259696079443
"TGME49_203100",0,0,0
"TGME49_203110",-0.950481879510529,-0.0925954341603194,1.04307731367085
"TGME49_203200",-0.577350269189626,-0.577350269189626,1.15470053837925
"TGME49_203230",1.12289474887868,-0.794536493030295,-0.32835825584839
"TGME49_203250",-1.10527042598454,0.263182342764717,0.842088083219821
"TGME49_203340",-1.00884396616744,0.017929034578126,0.990914931589311
"TGME49_203500",-0.577350269189626,-0.577350269189626,1.15470053837925
"TGME49_203505",-1.09528289967235,0.864290352035436,0.230992547636913
"TGME49_203800",-0.408167148472928,1.13952447786459,-0.731357329391663
"TGME49_203900",-1.13884256256128,0.734582454908523,0.404260107652759
"TGME49_204290",1.1404709685686,-0.726742600381798,-0.413728368186797
"TGME49_204300",1.01588155928804,-0.983323250002234,-0.0325583092858037
"TGME49_204460",0.610909684456423,0.543127515635783,-1.15403720009221
"TGME49_204560",0.540150949864967,0.613767109196602,-1.15391805906157
"TGME49_204870",-0.754662921929414,-0.379545613399895,1.13420853532931
"TGME49_205080",-0.577350269189626,1.15470053837925,-0.577350269189626
"TGME49_205140",0.0554198969363738,-1.02655752255928,0.971137625622911
"TGME49_205420",-0.99582802811776,-0.00829237054261881,1.00412039866038
"TGME49_205430",-1.0103198725706,0.989350308263816,0.0209695643067911
"TGME49_205770",0,0,0
"TGME49_206550",-0.329891959137648,-0.793374672129888,1.12326663126754
"TGME49_206650",1.07660046716237,-0.899822813207028,-0.176777653955343
"TGME49_206910",0,0,0
"TGME49_207015",0.950068712211446,0.0933203584499522,-1.0433890706614
"TGME49_207130",-0.975045834367291,-0.0481674930929105,1.02321332746018
"TGME49_207140",1.14129038655518,-0.418684046376334,-0.722606340178846
"TGME49_207160",-0.343378054214538,-0.783072007871054,1.12645006208559
"TGME49_207210",1.03545110986318,-0.960309726939957,-0.0751413829232296
"TGME49_207350",-0.795682798032326,-0.326842438037339,1.12252523606967
"TGME49_207610",1.12169551957765,-0.798227984364426,-0.323467535213228
